time [s], mxb, myb, mzb, sxb, syb, szb
1.870000e+01, 3.562123e-01, -5.207116e-01, -7.758687e-01, -3.840055e-01, 6.606582e-01, -6.450353e-01
1.880000e+01, 3.192148e-01, -7.010958e-01, -6.376257e-01, -4.255112e-02, 6.546684e-01, -7.547176e-01
1.890000e+01, 2.040313e-01, -8.342819e-01, -5.121961e-01, 2.937865e-01, 5.384690e-01, -7.897725e-01
19, 2.346423e-02, -9.140086e-01, -4.050158e-01, 5.806486e-01, 3.284184e-01, -7.449755e-01
1.910000e+01, -1.838561e-01, -9.269899e-01, -3.269354e-01, 7.767915e-01, 5.319774e-02, -6.275070e-01
1.920000e+01, -3.997231e-01, -8.689668e-01, -2.917502e-01, 8.565583e-01, -2.494944e-01, -4.517305e-01
1.930000e+01, -5.802856e-01, -7.505290e-01, -3.161880e-01, 8.071365e-01, -5.378006e-01, -2.435182e-01
1.940000e+01, -7.208011e-01, -5.909381e-01, -3.622678e-01, 6.357541e-01, -7.712521e-01, -3.141443e-02
1.950000e+01, -7.904371e-01, -3.985385e-01, -4.651626e-01, 3.673897e-01, -9.170172e-01, 1.552557e-01
1.960000e+01, -7.684721e-01, -2.150869e-01, -6.026510e-01, 3.781984e-02, -9.560774e-01, 2.906643e-01
1.970000e+01, -6.884128e-01, -5.414514e-02, -7.232954e-01, -3.072705e-01, -8.824827e-01, 3.561026e-01
1.980000e+01, -5.297514e-01, 4.402777e-02, -8.470094e-01, -6.186848e-01, -7.066621e-01, 3.433042e-01
1.990000e+01, -3.351296e-01, 7.156128e-02, -9.394504e-01, -8.552184e-01, -4.521678e-01, 2.532703e-01
20, -1.057679e-01, 5.603055e-02, -9.928110e-01, -9.828372e-01, -1.561128e-01, 9.828491e-02
2.010000e+01, 8.628470e-02, -4.360988e-02, -9.953156e-01, -9.846394e-01, 1.431181e-01, -1.000124e-01
2.020000e+01, 2.396172e-01, -2.006688e-01, -9.499029e-01, -8.599577e-01, 4.016182e-01, -3.149216e-01
2.030000e+01, 3.446520e-01, -3.719269e-01, -8.619080e-01, -6.267310e-01, 5.849561e-01, -5.148152e-01
2.040000e+01, 3.533675e-01, -5.663868e-01, -7.445383e-01, -3.163032e-01, 6.684475e-01, -6.731495e-01
2.050000e+01, 2.939664e-01, -7.303139e-01, -6.166241e-01, 2.841281e-02, 6.386599e-01, -7.689644e-01
2.060000e+01, 1.698508e-01, -8.543374e-01, -4.911806e-01, 3.581992e-01, 5.014559e-01, -7.875502e-01
2.070000e+01, -1.997353e-02, -9.227814e-01, -3.848059e-01, 6.305556e-01, 2.746058e-01, -7.259417e-01
2.080000e+01, -2.291950e-01, -9.198847e-01, -3.182479e-01, 8.041216e-01, -1.013816e-02, -5.943784e-01
2.090000e+01, -4.463928e-01, -8.456169e-01, -2.926867e-01, 8.568464e-01, -3.124527e-01, -4.101068e-01
21, -6.240319e-01, -7.173451e-01, -3.098389e-01, 7.805672e-01, -5.926428e-01, -1.987195e-01
2.110000e+01, -7.408654e-01, -5.487627e-01, -3.872698e-01, 5.877611e-01, -8.089736e-01, 9.931456e-03
2.120000e+01, -7.872587e-01, -3.557318e-01, -5.036653e-01, 3.032144e-01, -9.340191e-01, 1.888631e-01
2.130000e+01, -7.602847e-01, -1.849355e-01, -6.227087e-01, -3.477002e-02, -9.499990e-01, 3.103109e-01
2.140000e+01, -6.554324e-01, -3.193206e-02, -7.545785e-01, -3.765949e-01, -8.533669e-01, 3.604736e-01
2.150000e+01, -4.829743e-01, 5.462589e-02, -8.739290e-01, -6.754379e-01, -6.589268e-01, 3.310574e-01
2.160000e+01, -2.779092e-01, 7.498136e-02, -9.576765e-01, -8.911973e-01, -3.939030e-01, 2.249619e-01
2.170000e+01, -7.156183e-02, 2.748485e-02, -9.970574e-01, -9.938453e-01, -9.302630e-02, 6.014645e-02
2.180000e+01, 1.166621e-01, -7.742180e-02, -9.901494e-01, -9.690038e-01, 2.008211e-01, -1.438836e-01
2.190000e+01, 2.669694e-01, -2.323040e-01, -9.352872e-01, -8.190639e-01, 4.481548e-01, -3.581782e-01
22, 3.563234e-01, -4.175924e-01, -8.358530e-01, -5.672128e-01, 6.117382e-01, -5.514037e-01
2.210000e+01, 3.479441e-01, -6.050850e-01, -7.161054e-01, -2.459573e-01, 6.718036e-01, -6.987023e-01
2.220000e+01, 2.740719e-01, -7.639016e-01, -5.842422e-01, 9.997341e-02, 6.194641e-01, -7.786332e-01
2.230000e+01, 1.280610e-01, -8.817260e-01, -4.540480e-01, 4.207711e-01, 4.612357e-01, -7.811615e-01
2.240000e+01, -6.646506e-02, -9.278397e-01, -3.670095e-01, 6.745167e-01, 2.187545e-01, -7.051054e-01
